old,new
1,0
2,1
3,2
4,3
5,4
6,5
7,6
8,7
9,8
10,9
11,10
12,11
13,12
14,13
15,14
16,15
17,16
18,17
19,18
20,19
21,20
22,21
23,22
24,19
25,23
26,24
27,25
28,26
29,27
30,28
31,29
32,30
33,31
34,32
35,33
36,34
37,35
38,36
39,37
40,38
41,39
43,10
44,40
45,41
46,42
47,43
48,44
49,45
50,46
51,47
52,48
53,49
54,50
55,51
56,52
57,53
58,54
59,55
60,56
61,57
62,58
63,59
64,60
65,61
66,62
67,63
68,64
69,65
70,66
71,67
72,68
73,69
74,70
75,71
76,72
78,73
79,74
80,75
81,76
82,77
83,78
85,79
87,80
88,81
89,82
90,83
91,84
92,85
93,86
94,87
95,88
96,89
97,90
98,91
99,92
100,93
101,94
103,95
106,96
107,97
108,98
111,99
112,100
113,101
114,102
115,103
116,104
117,105
118,106
119,107
120,108
121,109
122,110
123,111
125,112
126,113
127,114
128,115
131,116
132,117
133,118
134,119
135,120
137,121
138,122
139,123
140,124
141,125
142,126
143,127
144,128
147,129
148,130
150,131
152,132
153,133
154,134
157,135
158,136
159,137
160,138
161,139
164,140
165,141
166,142
168,143
169,144
171,145
173,146
174,147
175,148
177,149
179,150
182,151
183,152
185,153
186,154
187,155
188,156
189,157
190,158
191,159
192,160
193,161
194,162
195,163
196,164
197,165
199,166
200,167
201,168
202,169
203,170
204,171
206,172
207,173
208,174
210,175
211,168
213,176
214,177
215,178
217,179
218,180
219,181
221,182
224,183
225,184
226,185
227,186
228,187
231,188
232,189
233,26
234,190
237,191
238,192
239,193
243,194
244,195
246,196
247,197
250,198
251,199
252,200
253,201
256,202
257,203
259,204
262,205
264,206
265,207
266,208
267,209
272,210
273,211
275,212
276,213
277,183
278,214
279,215
282,183
283,216
284,217
285,218
286,219
287,220
288,221
290,222
291,223
292,216
293,224
294,225
296,226
300,227
301,228
302,229
303,230
304,231
305,232
307,233
310,234
313,235
315,236
316,237
317,238
322,239
323,240
325,241
326,242
327,243
328,244
329,245
331,246
332,247
333,248
334,249
335,250
336,251
337,252
339,253
340,254
341,255
342,256
343,257
344,258
345,259
346,260
347,224
348,261
349,262
350,263
351,264
353,265
354,216
355,266
356,267
358,268
359,245
361,269
363,270
366,271
368,272
369,19
371,273
373,274
374,60
375,46
376,247
377,275
378,276
380,277
382,278
383,279
384,280
385,281
387,282
390,283
391,284
392,285
393,285
394,286
395,251
396,12
397,287
398,2
399,288
400,289
402,290
403,291
405,292
406,293
407,294
408,295
409,296
410,297
411,298
412,299
414,73
421,300
423,301
424,88
425,302
426,303
427,304
431,305
433,306
435,307
436,308
437,309
438,310
440,311
441,312
442,313
445,314
446,315
448,316
451,317
452,318
453,319
457,320
459,321
460,322
461,25
462,323
463,324
464,325
465,326
466,327
469,328
471,329
473,330
474,331
475,332
477,333
478,144
479,326
480,334
481,335
482,336
483,55
484,337
486,338
487,339
488,340
489,179
491,341
493,342
494,343
495,344
496,345
498,145
499,346
500,347
501,216
502,348
504,95
506,349
507,350
508,351
509,352
510,353
512,354
515,355
516,356
518,357
519,358
520,359
522,360
523,361
524,362
525,363
527,364
529,365
530,185
531,366
532,367
534,368
538,369
539,216
542,370
543,2
544,216
545,371
546,365
547,223
549,216
550,372
551,279
552,373
554,374
555,375
557,376
558,377
560,378
561,379
562,365
564,183
567,380
568,73
